function,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
Similar to coenzyme PQQ synthesis protein B,42,38,4,4
"Similar to coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)",4,3,3,2
Similar to cytochrome c-type biogenesis protein CcsA/ResC,1,1,0,0
"Similar to eukaryotic Peptidyl prolyl 4-hydroxylase, alpha subunit (EC 1.14.11.2)",4,8,2,2
Similar to non-heme chloroperoxidase,0,0,1,1
"Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C",19,15,1,0
"Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase",8,6,2,2
Similar to ribosomal large subunit pseudouridine synthase A,0,0,1,1
"Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type",1,2,0,0
"Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type",1,0,3,2
"Similar to ribosomal large subunit pseudouridine synthase D, CAC1266-type",1,1,0,0
"Similar to ribosomal large subunit pseudouridine synthase D, TTE1780-type",0,0,1,0
Similarity to Na+/myo-inositol cotransporter,40,32,4,4
"Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 1",0,0,6,3
"Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 2",2,2,0,0
"Single stranded DNA-binding protein, phage-associated",22,25,0,0
Single-stranded DNA-binding protein,236,230,93,91
Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-),357,343,77,89
"Single-stranded-DNA-specific exonuclease RecJ, cyanobacterial paralog",0,0,2,2
Sirohydrochlorin cobaltochelatase (EC 4.99.1.3),39,33,5,6
Sirohydrochlorin ferrochelatase (EC 4.99.1.4),1,1,1,1
Site-specific recombinase,180,162,41,35
Site-specific recombinase XerD,46,39,23,29
Site-specific tyrosine recombinase,8,3,1,2
Small nuclear ribonucleoprotein F,1,0,1,1
Small uncharacterized protein Bpro_4170,7,5,0,0
Sodium-Choline Symporter,1,3,0,0
Sodium-dependent phosphate transporter,23,22,28,21
Sodium/glutamate symport protein,100,87,19,22
Sodium/glycine symporter GlyP,11,9,2,2
Sodium/myo-inositol cotransporter,6,10,2,2
Solanesyl diphosphate synthase (EC 2.5.1.11),35,28,2,2
Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains),12,16,10,11
Soluble lytic murein transglycosylase precursor (EC 3.2.1.-),253,223,62,61
Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1),20,15,13,13
Sorbitol operon transcription regulator,0,0,0,1
Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140),11,11,7,5
Sortase,6,5,5,2
"SoxH protein, homolog",30,30,9,8
Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1),45,51,14,14
Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1),37,34,18,16
Spermidine synthase (EC 2.5.1.16),77,72,37,32
Spheroidene monooxygenase,17,23,3,4
Spore coat protein A,1,1,1,1
Spore cortex-lytic enzyme precursor,0,1,1,1
"Spore cortex-lytic enzyme, lytic transglycosylase SleB",2,2,4,3
Spore maturation protein A,2,2,2,1
Spore maturation protein A-like protein,0,0,1,3
Spore maturation protein B,1,1,3,1
Spore photoproduct lyase (EC 4.1.99.-),2,1,1,2
Sporulation initiation inhibitor protein Soj,124,127,52,48
Sporulation regulatory protein WhiB,7,8,6,6
Sporulation regulatory protein WhiD,3,0,0,0
Squalene desaturase,0,0,0,1
Squalene--hopene cyclase (EC 5.4.99.17),1,2,0,0
SsnA protein,3,1,0,0
Stage 0 sporulation protein J,8,10,8,8
Stage II sporulation protein D (SpoIID),1,0,0,0
Stage V sporulation protein D (Sporulation-specific penicillin-binding protein),3,0,1,1
Stage V sporulation protein E,2,1,2,1
"Stage V sporulation protein T, AbrB family transcriptional regulator (SpoVT)",0,0,1,0
Stage V sporulation protein whose disruption leads to the production of immature spores (SpoVK),0,0,1,1
Starvation lipoprotein Slp,0,0,1,1
Starvation lipoprotein Slp paralog,0,0,1,1
Starvation sensing protein RspA,3,5,4,2
Steryl-sulfatase precursor (EC 3.1.6.2),3,1,3,1
Stringent starvation protein A,32,28,12,8
Stringent starvation protein B,25,16,9,10
Structure-specific tRNA-binding protein,3,3,0,0
Substrate-binding periplasmic component of uncharacterized ABC transporter,55,40,2,2
Substrate-specific component BioY of biotin ECF transporter,88,80,26,21
Substrate-specific component CbiM of cobalt ECF transporter,0,0,1,0
Substrate-specific component CbrT of predicted cobalamin ECF transporter,0,0,3,2
Substrate-specific component MtsA of methionine-regulated ECF transporter,0,0,0,1
Substrate-specific component NikM of nickel ECF transporter,3,2,0,0
Substrate-specific component TTE1586 of predicted methylthioadenosine ECF transporter,0,0,1,2
Substrate-specific component ThiW of predicted thiazole ECF transporter,1,1,0,0
Succinate dehydrogenase cytochrome b subunit,62,54,11,13
Succinate dehydrogenase cytochrome b-556 subunit,41,44,10,15
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1),961,879,430,433
Succinate dehydrogenase hydrophobic membrane anchor protein,36,32,15,8
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1),410,386,179,163
Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5),457,451,176,172
Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5),548,524,241,213
Succinyl-CoA ligase [GDP-forming] alpha chain (EC 6.2.1.4),3,5,2,2
Succinyl-CoA ligase [GDP-forming] beta chain (EC 6.2.1.4),0,1,2,2
"Succinyl-CoA synthetase, alpha subunit-related enzymes",25,14,2,3
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5),98,83,34,34
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5),100,95,24,16
Succinylarginine dihydrolase (EC 3.5.3.23),9,7,0,0
Succinylglutamate desuccinylase (EC 3.5.1.96),0,0,1,1
Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71),2,1,7,7
Succinylornithine transaminase (EC 2.6.1.81),19,16,13,9
Sucrose phosphorylase (EC 2.4.1.7),17,19,20,21
"Sucrose repressor, LacI family, Shewanella subfamily",0,0,1,1
Sucrose-6-phosphate hydrolase (EC 3.2.1.26),23,23,12,10
"Sugar ABC transporter, sugar permease protein 1 USSDB1C",0,0,0,1
"Sugar ABC transporter, sugar permease protein 2 USSDB1D",1,1,0,1
Sugar diacid utilization regulator SdaR,0,0,1,1
Sugar transferase SypR involved in lipopolysaccharide synthesis,0,0,1,1
Sugar/maltose fermentation stimulation protein homolog,125,110,17,16
Sulfatase,233,208,56,43
Sulfatase modifying factor 1 precursor (C-alpha-formyglycine- generating enzyme 1),23,25,9,8
Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4),109,108,47,43
Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4),150,155,72,55
"Sulfate adenylyltransferase, dissimilatory-type (EC 2.7.7.4)",78,69,16,15
Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25),18,15,6,4
Sulfate permease,765,706,223,215
"Sulfate permease, Trk-type",16,17,5,6
Sulfate transporter family protein in cluster with carbonic anhydrase,0,1,2,2
"Sulfate transporter, CysZ-type",2,2,3,2
Sulfhydrogenase II subunit d,1,0,0,0
Sulfide dehydrogenase [flavocytochrome C] flavoprotein chain precursor (EC 1.8.2.-),99,98,19,12
Sulfite dehydrogenase cytochrome subunit SoxD,80,75,27,28
Sulfite oxidase,49,37,20,23
Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2),12,12,9,5
Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2),100,103,47,46
Sulfite reductase alpha subunit (EC 1.8.99.1),2,3,3,4
Sulfite reductase beta subunit (EC 1.8.99.1),4,4,3,3
"Sulfite reductase, dissimilatory-type gamma subunit (EC 1.8.99.3)",1,1,1,1
Sulfite reduction-associated complex DsrMKJOP iron-sulfur protein DsrO (=HmeA),0,0,1,1
Sulfite reduction-associated complex DsrMKJOP protein DsrK (=HmeD),5,2,6,5
Sulfite reduction-associated complex DsrMKJOP protein DsrM (= HmeC),3,3,1,1
Sulfite reduction-associated complex DsrMKJOP protein DsrP (= HmeB),1,0,1,3
Sulfopyruvate decarboxylase - alpha subunit (EC 4.1.1.79),2,1,3,1
Sulfopyruvate decarboxylase - beta subunit (EC 4.1.1.79),7,7,4,4
Sulfur acceptor protein SufE for iron-sulfur cluster assembly,86,77,28,23
Sulfur carrier protein ThiS,17,13,1,1
Sulfur carrier protein adenylyltransferase ThiF,121,120,31,35
Sulfur oxidation molybdopterin C protein,133,125,42,38
Sulfur oxidation protein SoxB,119,110,32,24
Sulfur oxidation protein SoxX,16,14,6,8
Sulfur oxidation protein SoxY,29,24,8,7
Sulfur oxidation protein SoxZ,38,26,8,8
"Superfamily II DNA/RNA helicases, SNF2 family",59,51,27,34
Superoxide dismutase SodM-like protein ChrF,0,0,2,2
Superoxide dismutase [Cu-Zn] (EC 1.15.1.1),19,13,2,2
Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),29,30,5,2
Superoxide dismutase [Fe] (EC 1.15.1.1),81,85,38,40
Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),1,1,2,2
Superoxide dismutase [Mn] (EC 1.15.1.1),7,3,17,22
Superoxide reductase (EC 1.15.1.2),2,2,0,0
Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8),102,89,23,16
"SusC, outer membrane protein involved in starch binding",57,50,14,14
"SusD, outer membrane protein",33,36,2,1
"T-DNA border endonuclease VirD2, RP4 TraG-like relaxase",5,5,3,3
T1SS associated transglutaminase-like cysteine proteinase (LapP),2,1,0,0
T1SS secreted agglutinin (RTX),23,26,7,10
T7-like phage DNA Polymerase (EC 2.7.7.7),29,18,49,40
T7-like phage DNA-directed RNA polymerase (EC 2.7.7.6),1,1,0,0
T7-like phage endonuclease (EC 3.1.21.2),38,29,24,15
T7-like phage exonuclease (EC 3.1.11.3),1,0,0,0
T7-like phage head-to-tail joining protein,276,232,14,30
T7-like phage primase/helicase protein,46,38,47,58
TATA-box binding protein,3,3,1,1
TPR domain protein in aerotolerance operon,32,24,16,18
"TPR domain protein, putative component of TonB system",26,26,8,7
TPR repeat containing exported protein,92,77,39,37
"TRAP-type C4-dicarboxylate transport system, large permease component",853,810,398,352
"TRAP-type C4-dicarboxylate transport system, periplasmic component",545,515,281,249
"TRAP-type C4-dicarboxylate transport system, possibly of alkanesulfonates, large permease component",27,30,13,12
"TRAP-type C4-dicarboxylate transport system, possibly of alkanesulfonates, periplasmic component",57,50,13,13
"TRAP-type C4-dicarboxylate transport system, possibly of alkanesulfonates, small permease component",4,5,1,0
"TRAP-type transport system, large permease component, predicted N-acetylneuraminate transporter",8,5,9,9
"TRAP-type transport system, periplasmic component, predicted N-acetylneuraminate-binding protein",3,2,2,1
"TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter",2,2,0,0
"TRAP-type uncharacterized transport system, fused permease component",234,220,157,149
"Tagatose 1,6-diphosphate aldolase (EC 4.1.2.40)",1,1,3,2
"Tagatose-1,6-bisphosphate aldolase AgaY (EC 4.1.2.-)",3,2,0,0
Tagatose-6-phosphate kinase (EC 2.7.1.144),0,1,1,0
Tagatose-6-phosphate kinase (EC 2.7.1.144) / 1-phosphofructokinase (EC 2.7.1.56),1,1,0,0
Tagatose-6-phosphate kinase AgaZ (EC 2.7.1.144),1,3,1,1
Tagatose-6-phosphate kinase GatZ (EC 2.7.1.144),0,0,1,1
Tartrate decarboxylase (EC 4.1.1.73),43,43,29,15
Tartrate dehydrogenase (EC 1.1.1.93),17,10,6,9
Taurine transport ATP-binding protein TauB,64,75,33,27
Taurine transport system permease protein TauC,44,46,10,10
Taurine-binding periplasmic protein TauA,51,46,11,10
TctA citrate transporter,0,0,1,0
TcuA: flavoprotein used to oxidize tricarballylate to cis-aconitate,75,58,14,10
TcuB: works with TcuA to oxidize tricarballylate to cis-aconitate,24,25,0,0
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40),21,15,6,4
"Terminal dioxygenase component of carbazole 1,9a-dioxygenase",1,1,0,0
TesB-like acyl-CoA thioesterase 1,2,2,0,0
Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130),117,113,38,40
Tetrathionate reductase sensory transduction histidine kinase,0,0,1,0
Tetrathionate reductase subunit B,1,2,1,1
Thermosome subunit,2,2,1,3
Thermostable carboxypeptidase 1 (EC 3.4.17.19),108,98,8,3
ThiJ/PfpI family protein,28,26,13,9
"Thiamin ABC transporter, ATPase component",29,24,6,5
"Thiamin ABC transporter, substrate-binding component",48,48,15,11
"Thiamin ABC transporter, transmembrane component",33,17,17,15
Thiamin biosynthesis lipoprotein ApbE,48,44,24,28
Thiamin biosynthesis protein ThiC,122,113,54,54
Thiamin pyrophosphokinase (EC 2.7.6.2),6,10,3,4
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),92,80,18,15
Thiamin-phosphate pyrophosphorylase-like protein,8,5,2,3
Thiamin-regulated outer membrane receptor Omr1,155,146,34,31
Thiaminase II (EC 3.5.99.2),6,6,0,0
Thiamine biosynthesis protein ThiI,0,0,3,2
Thiamine-monophosphate kinase (EC 2.7.4.16),218,191,38,34
Thiazole biosynthesis protein ThiG,146,129,66,76
Thiazole biosynthesis protein ThiH,7,7,2,5
Thiazole biosynthetic enzyme Thi4,1,1,0,0
Thimet oligopeptidase (EC 3.4.24.15),4,4,2,2
"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",134,143,48,48
"Thiol peroxidase, Tpx-type (EC 1.11.1.15)",9,10,16,12
Thiol:disulfide interchange protein DsbC,26,19,7,8
Thiol:disulfide oxidoreductase TlpA,59,50,13,11
Thiol:disulfide oxidoreductase associated with MetSO reductase,2,2,4,3
Thiol:disulfide oxidoreductase related to ResA,9,8,8,9
Thioredoxin,771,726,270,250
Thioredoxin reductase (EC 1.8.1.9),469,458,163,141
"Thioredoxin, phage-associated",1,0,0,0
Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1),0,1,0,0
"Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)",90,74,44,38
Threonine dehydratase (EC 4.3.1.19),83,82,30,32
Threonine dehydratase biosynthetic (EC 4.3.1.19),246,246,39,30
"Threonine dehydratase, catabolic (EC 4.3.1.19)",144,136,53,58
Threonine dehydrogenase and related Zn-dependent dehydrogenases,17,17,7,6
Threonine synthase (EC 4.2.3.1),421,391,154,143
Threonyl-tRNA synthetase (EC 6.1.1.3),921,883,390,339
"Threonyl-tRNA synthetase (EC 6.1.1.3), mitochondrial",0,1,1,3
Threonyl-tRNA synthetase-related protein,1,1,0,0
Thymidine kinase,77,57,28,22
Thymidine kinase (EC 2.7.1.21),67,50,14,15
Thymidine phosphorylase (EC 2.4.2.4),67,61,38,32
Thymidylate kinase (EC 2.7.4.9),229,204,85,70
Thymidylate synthase (EC 2.1.1.45),365,340,199,168
Thymidylate synthase thyX (EC 2.1.1.-),786,767,248,206
TilS and TtcA-like,1,1,1,1
"TldD family protein, Actinobacterial subgroup",14,13,3,2
"TldD family protein, Beta/Gamma-proteobacterial subgroup",4,4,0,0
"TldD protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)",326,298,138,122
"TldE/PmbA family protein, Actinobacterial subgroup",4,2,0,0
"TldE/PmbA family protein, Beta/Gamma-proteobacterial subgroup",7,5,0,0
"TldE/PmbA protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)",205,197,74,66
Tlr0729 protein,7,8,0,0
"Tol biopolymer transport system, TolR protein",70,78,26,18
TolA protein,98,106,79,66
"Toluene-4-monooxygenase, subunit TmoA",2,1,0,0
"Toluene-4-monooxygenase, subunit TmoE",1,2,0,0
TonB system biopolymer transport component,23,22,12,10
"TonB-dependent hemin , ferrichrome receptor",0,0,1,1
TonB-dependent hemin receptor,1,1,0,0
TonB-dependent receptor,1494,1302,411,375
TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins,28,30,9,7
TonB-dependent siderophore receptor,0,1,0,0
Topoisomerase IV subunit A (EC 5.99.1.-),656,581,209,168
Topoisomerase IV subunit B (EC 5.99.1.-),479,484,181,167
"Trans-2,3-enoyl-cozyme A reductase of elongase (EC 1.-.-.-)",0,0,1,1
Transaldolase (EC 2.2.1.2),476,428,127,115
Transamidase GatB domain protein,98,81,19,22
Transcription accessory protein (S1 RNA-binding domain),20,19,42,37
Transcription antitermination protein NusG,290,259,96,94
Transcription elongation factor GreA,210,189,83,76
Transcription elongation factor GreB,21,18,5,7
Transcription initiation factor B,9,5,2,2
Transcription initiation factor IID 145 kDa subunit,1,1,0,0
Transcription initiation factor IIF alpha subunit,0,0,2,0
Transcription initiation factor IIH cyclin-dependent kinase 7,2,1,1,0
Transcription initiation factor IIH p34 subunit,0,0,1,0
Transcription initiation factor IIH p80 subunit,3,2,4,4
Transcription initiation factor IIH p90 subunit,3,3,3,4
Transcription initiation factor IIIB 70 kDa subunit,1,1,0,0
"Transcription regulator Bat, regulates bacteriorhodopsin synthesis",0,1,0,0
Transcription regulator [contains diacylglycerol kinase catalytic domain],7,9,1,1
Transcription termination factor Rho,710,701,304,263
Transcription termination protein NusA,797,754,257,234
Transcription termination protein NusB,127,129,26,26
Transcription-repair coupling factor,743,683,248,211
Transcriptional (co)regulator CytR,2,0,3,1
Transcriptional activator HlyU,2,1,0,0
Transcriptional activator MetR,31,33,12,11
Transcriptional activator RfaH,4,4,2,1
Transcriptional activator of acetoin dehydrogenase operon AcoR,3,1,0,0
"Transcriptional activator of maltose regulon, MalT",3,2,3,0
Transcriptional activator protein CopR,1,1,0,0
"Transcriptional regulator AglR, LacI family",23,6,9,7
Transcriptional regulator BkdR of isoleucine and valine catabolism operon,7,5,6,4
"Transcriptional regulator DegU, LuxR family",1,1,0,0
"Transcriptional regulator FrcR for fructose utilization, ROK family",22,19,3,3
Transcriptional regulator GabR of GABA utilization (GntR family with aminotransferase-like domain),3,3,0,0
"Transcriptional regulator HxlR, formaldehyde assimilation",2,2,3,3
Transcriptional regulator LuxT,2,2,0,0
Transcriptional regulator NanR,3,1,0,0
Transcriptional regulator PhnF,6,5,0,0
Transcriptional regulator RutR of pyrimidine catabolism (TetR family),19,20,3,4
Transcriptional regulator SpxA1,0,0,1,1
Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain,45,49,0,1
"Transcriptional regulator of beta-glucosides utilization, LacI family",0,0,3,0
"Transcriptional regulator of fucose utilization, GntR family",1,1,0,0
"Transcriptional regulator of maltose utilization, LacI family",0,1,2,2
"Transcriptional regulator of rhamnose utilization, DeoR family",2,2,2,2
"Transcriptional regulator of rhamnose utilization, GntR family",0,0,1,1
"Transcriptional regulator of rhamnose utilization, LacI family",2,2,9,7
"Transcriptional regulator, FUR family",7,4,0,0
"Transcriptional regulator, GABA/putrescine utiliation cluster # 2",0,0,1,1
"Transcriptional regulator, IclR family",76,49,8,7
"Transcriptional regulator, LysR family, in formaldehyde detoxification operon",0,0,2,0
"Transcriptional regulator, LysR family, in glycolate utilization operon",1,1,0,0
"Transcriptional regulator, MecI family",3,1,4,2
"Transcriptional regulator, MerR family",67,60,32,28
"Transcriptional regulator, MerR family, associated with photolyase",1,1,0,0
"Transcriptional regulator, PpsR",8,8,1,3
Transcriptional regulatory protein PhoP,2,1,0,0
Transcriptional regulatory protein RstA,0,0,2,1
Transcriptional regulatory protein RtcR,1,0,2,2
Transcriptional regulatory protein UhpA,2,2,3,3
Transcriptional regulatory protein basR/pmrA,1,1,0,0
Transcriptional repressor of PutA and PutP,1,1,0,0
Transcriptional repressor of aga operon,3,3,1,1
"Transcriptional repressor of arabinoside utilization operon, GntR family",0,0,1,1
"Transcriptional repressor of the fructose operon, DeoR family",4,2,2,4
Transcriptional repressor protein TrpR,0,0,1,1
Transcriptional repressor protein TyrR,1,0,7,7
Transketolase (EC 2.2.1.1),693,649,261,238
"Transketolase, C-terminal section (EC 2.2.1.1)",118,116,29,22
"Transketolase, N-terminal section (EC 2.2.1.1)",145,130,34,24
Translation elongation factor 1 alpha subunit,5,5,5,5
Translation elongation factor 1 beta subunit,0,0,1,0
Translation elongation factor 1 delta subunit,1,1,0,0
Translation elongation factor 2,10,7,10,12
Translation elongation factor 3,1,4,2,2
Translation elongation factor G,1168,1123,466,441
Translation elongation factor G paralog,17,14,9,8
"Translation elongation factor G, mitochondrial",1,0,4,3
Translation elongation factor G-related protein,3,5,3,5
Translation elongation factor LepA,1011,944,342,314
Translation elongation factor P,286,260,75,76
Translation elongation factor P-related protein,0,0,1,0
Translation elongation factor Ts,404,364,150,133
Translation elongation factor Tu,806,743,432,424
Translation initiation factor 1,140,135,64,59
Translation initiation factor 2,1138,1060,412,395
Translation initiation factor 3,226,222,87,86
Translation initiation factor SUI1,1,0,0,0
Translation initiation factor SUI1-related protein,39,31,9,6
Transmembrane component BioN of energizing module of biotin ECF transporter,4,4,0,0
Transmembrane component MtsC of energizing module of methionine-regulated ECF transporter,0,0,1,1
Transmembrane component NikQ of energizing module of nickel ECF transporter,3,1,0,0
Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine,0,0,0,3
Transmembrane component of energizing module of ECF transporters in Cyanobacteria,32,32,0,0
Transmembrane component of general energizing module of ECF transporters,0,0,1,1
Transport ATP-binding protein CydC,11,12,7,7
Transport ATP-binding protein CydCD,2,1,0,0
Transport ATP-binding protein CydD,2,1,1,2
"Transposase OrfAB, subunit B",2,2,2,3
Trehalase (EC 3.2.1.28),2,0,0,0
Trehalose 6-phosphate phosphorylase (EC 2.4.1.216),0,0,1,1
Trehalose phosphorylase (EC 2.4.1.64),79,90,15,14
Trehalose synthase (EC 5.4.99.16),20,20,24,26
"Trehalose synthase, nucleoside diphosphate glucose dependent",1,1,0,0
Trehalose-6-phosphate hydrolase (EC 3.2.1.93),3,8,3,3
Trehalose-6-phosphate phosphatase (EC 3.1.3.12),4,6,3,2
Trehalose-regulated TonB-dependent outer membrane receptor,0,0,2,2
Triacylglycerol lipase (EC 3.1.1.3),1,0,2,1
Tricarboxylate transport membrane protein TctA,524,510,152,134
Tricarboxylate transport protein TctB,66,55,7,12
Tricarboxylate transport protein TctC,220,207,77,64
Tricarboxylate transport sensor protein TctE,19,17,2,1
Tricarboxylate transport transcriptional regulator TctD,18,16,3,5
Trimethylamine-N-oxide reductase (Cytochrome c) (EC 1.7.2.3),36,33,6,3
Trimethylamine-N-oxide reductase (EC 1.6.6.9),8,8,1,3
Trimethylamine:corrinoid methyltransferase,45,51,2,2
Triosephosphate isomerase (EC 5.3.1.1),233,213,95,81
Trk system potassium uptake protein TrkA,407,365,90,80
TrkA-N:Sodium/hydrogen exchanger,0,1,0,0
TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-),3,4,0,0
"Tryptophan 2,3-dioxygenase (EC 1.13.11.11)",61,56,34,36
Tryptophan 2-monooxygenase (EC 1.13.12.3),1,0,0,0
Tryptophan synthase alpha chain (EC 4.2.1.20),304,279,99,100
Tryptophan synthase beta chain (EC 4.2.1.20),533,472,239,208
Tryptophan synthase beta chain like (EC 4.2.1.20),117,115,12,12
"Tryptophan-rich protein DUF2389, Ssr2843 homolog",6,5,0,0
Tryptophanase (EC 4.1.99.1),27,31,13,11
Tryptophanyl-tRNA synthetase (EC 6.1.1.2),516,481,209,195
Twin-arginine translocation protein TatA,129,113,28,30
Twin-arginine translocation protein TatB,62,56,26,21
Twin-arginine translocation protein TatC,327,293,69,61
Twin-arginine translocation protein TatE,1,0,0,0
Two component system histidine kinase ArlS (EC 2.7.3.-),0,1,0,0
Two component transcriptional regulator VraR,0,0,1,0
"Two component, Sigma-54 Specific, central transcriptional regulator of acidic amino acid uptake",1,0,2,2
Two-component hybrid sensor and regulator associated with [RsbQ - PAS domain] sensing module,0,0,1,1
Two-component nitrogen fixation transcriptional regulator FixJ,2,1,0,0
Two-component oxygen-sensor histidine kinase FixL,4,4,0,0
Two-component response regulator CreB,0,0,3,3
Two-component response regulator CreC,2,2,6,2
Two-component response regulator SA14-24,4,2,2,2
Two-component sensor histidine kinase PleC,4,4,2,2
Two-component sensor kinase SA14-24,6,4,2,2
Two-component system histidine kinase,0,0,1,0
Two-component system response regulator,146,133,41,41
Two-component system response regulator OmpR,5,1,3,4
Two-component system response regulator QseB,3,4,2,3
"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)",124,118,84,74
"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)",171,169,103,92
"Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)",36,30,28,23
"Type I secretion outer membrane protein, TolC precursor",117,91,33,32
"Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily",20,24,14,11
"Type II/IV secretion system ATPase TadZ/CpaE, associated with Flp pilus assembly",3,3,4,6
"Type II/IV secretion system protein TadC, associated with Flp pilus assembly",5,8,4,4
"Type II/IV secretion system secretin RcpA/CpaC, associated with Flp pilus assembly",11,20,3,2
Type III effector,2,1,4,3
Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5),1,0,0,0
Type III restriction-modification system methylation subunit (EC 2.1.1.72),32,25,145,58
"Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)",3,7,0,1
"Type III secretion inner membrane protein (YscQ,homologous to flagellar export components)",0,0,1,1
"Type III secretion inner membrane protein (YscU,SpaS,EscU,HrcU,SsaU, homologous to flagellar export components)",1,0,0,0
Type III secretion translocase SctL,1,1,0,0
Type IV prepilin peptidase TadV/CpaA,0,0,1,1
"Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation",12,11,35,31
Type cbb3 cytochrome oxidase biogenesis protein CcoH,2,0,2,0
Type cbb3 cytochrome oxidase biogenesis protein CcoI,19,17,17,10
"Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion",7,4,3,4
Tyrosine recombinase XerC,71,64,31,28
Tyrosine-protein kinase EpsD (EC 2.7.10.2),3,3,0,2
Tyrosine-protein kinase Wzc (EC 2.7.10.2),18,15,13,12
Tyrosine-specific transport protein,0,0,1,0
Tyrosyl-tRNA synthetase (EC 6.1.1.1),525,521,160,174
"UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.-)",219,199,46,44
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.-),295,261,56,53
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-),325,309,72,59
UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.-),123,125,44,39
UDP-Bac2Ac4Ac hydrolyzing 2-epimerase NeuC homolog,8,12,1,0
"UDP-GlcNAc-specific C4,6 dehydratase/C5 epimerase (PseB, first step of pseudaminic acid biosynthesis)",8,6,4,3
UDP-N-acetyl-D-mannosaminuronate dehydrogenase,18,15,10,10
UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158),247,231,81,71
UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),587,538,177,165
UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14),255,248,45,43
UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) 2,3,2,1,1
"UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)",157,145,51,45
UDP-N-acetylglucosamine 4-epimerase (EC 5.1.3.7),5,4,0,0
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),179,171,60,56
