level1	level2	level3	function	nador_lagoon_1	nador_lagoon_2	oualidia_lagoon_1	oualidia_lagoon_2
Membrane Transport	NULL	ECF_class_transporters	Transmembrane component BioN of energizing module of biotin ECF transporter	4	4	0	0
Membrane Transport	NULL	ECF_class_transporters	Transmembrane component MtsC of energizing module of methionine-regulated ECF transporter	0	0	1	1
Membrane Transport	NULL	ECF_class_transporters	Transmembrane component NikQ of energizing module of nickel ECF transporter	3	1	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	NULL	Thiamin_biosynthesis	Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	0	0	0	3
Membrane Transport	NULL	ECF_class_transporters	Transmembrane component of energizing module of ECF transporters in Cyanobacteria	32	32	0	0
Membrane Transport	NULL	ECF_class_transporters	Transmembrane component of general energizing module of ECF transporters	0	0	1	1
Respiration	Electron accepting reactions	Terminal_cytochrome_oxidases	Transport ATP-binding protein CydC	11	12	7	7
Respiration	Electron accepting reactions	Terminal_cytochrome_oxidases	Transport ATP-binding protein CydCD	2	1	0	0
Respiration	Electron accepting reactions	Terminal_cytochrome_d_ubiquinol_oxidases	Transport ATP-binding protein CydD	2	1	1	2
Phages, Prophages, Transposable elements, Plasmids	Transposable elements	CBSS-203122.12.peg.188	Transposase OrfAB, subunit B	2	2	2	3
Carbohydrates	Di- and oligosaccharides	Trehalose_Uptake_and_Utilization	Trehalase (EC 3.2.1.28)	2	0	0	0
Carbohydrates	Di- and oligosaccharides	Trehalose_Uptake_and_Utilization	Trehalose 6-phosphate phosphorylase (EC 2.4.1.216)	0	0	1	1
Carbohydrates	Di- and oligosaccharides	Trehalose_Biosynthesis	Trehalose phosphorylase (EC 2.4.1.64)	79	90	15	14
Carbohydrates	Di- and oligosaccharides	Trehalose_Biosynthesis	Trehalose synthase (EC 5.4.99.16)	20	20	24	26
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	Trehalose synthase, nucleoside diphosphate glucose dependent	1	1	0	0
Carbohydrates	Di- and oligosaccharides	Trehalose_Uptake_and_Utilization	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	3	8	3	3
Carbohydrates	Di- and oligosaccharides	Trehalose_Biosynthesis	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	4	6	3	2
Carbohydrates	Di- and oligosaccharides	Trehalose_Uptake_and_Utilization	Trehalose-regulated TonB-dependent outer membrane receptor	0	0	2	2
Fatty Acids, Lipids, and Isoprenoids	Triacylglycerols	Triacylglycerol_metabolism	Triacylglycerol lipase (EC 3.1.1.3)	1	0	2	1
Membrane Transport	NULL	Tricarboxylate_transport_system	Tricarboxylate transport membrane protein TctA	524	510	152	134
Membrane Transport	NULL	Tricarboxylate_transport_system	Tricarboxylate transport protein TctB	66	55	7	12
Membrane Transport	NULL	Tricarboxylate_transport_system	Tricarboxylate transport protein TctC	220	207	77	64
Membrane Transport	NULL	Tricarboxylate_transport_system	Tricarboxylate transport sensor protein TctE	19	17	2	1
Membrane Transport	NULL	Tricarboxylate_transport_system	Tricarboxylate transport transcriptional regulator TctD	18	16	3	5
Respiration	Electron accepting reactions	trimethylamine_N-oxide_(TMAO)_reductase	Trimethylamine-N-oxide reductase (Cytochrome c) (EC 1.7.2.3)	36	33	6	3
Respiration	Electron accepting reactions	trimethylamine_N-oxide_(TMAO)_reductase	Trimethylamine-N-oxide reductase (EC 1.6.6.9)	8	8	1	3
Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds	Trimethylamine:corrinoid methyltransferase	45	51	2	2
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	Triosephosphate isomerase (EC 5.3.1.1)	233	213	95	81
Potassium metabolism	NULL	Potassium_homeostasis	Trk system potassium uptake protein TrkA	407	365	90	80
Potassium metabolism	NULL	Potassium_homeostasis	TrkA-N:Sodium/hydrogen exchanger	0	1	0	0
Miscellaneous	Plant-Prokaryote DOE project	Conserved_gene_cluster_possibly_involved_in_RNA_metabolism	TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-)	3	4	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD_and_NADP_cofactor_biosynthesis_global	Tryptophan 2,3-dioxygenase (EC 1.13.11.11)	61	56	34	36
Miscellaneous	Plant-Prokaryote DOE project	COG0523	Tryptophan 2-monooxygenase (EC 1.13.12.3)	1	0	0	0
Secondary Metabolism	Plant Hormones	Auxin_biosynthesis	Tryptophan synthase alpha chain (EC 4.2.1.20)	304	279	99	100
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	Tryptophan synthase beta chain (EC 4.2.1.20)	533	472	239	208
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.	Tryptophan synthase beta chain like (EC 4.2.1.20)	117	115	12	12
Miscellaneous	Plant-Prokaryote DOE project	At1g33290_At1g73170_At3g10420	Tryptophan-rich protein DUF2389, Ssr2843 homolog	6	5	0	0
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	Tryptophanase (EC 4.1.99.1)	27	31	13	11
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Trp	Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	516	481	209	195
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	YgfZ	Twin-arginine translocation protein TatA	129	113	28	30
Membrane Transport	Protein translocation across cytoplasmic membrane	Twin-arginine_translocation_system	Twin-arginine translocation protein TatB	62	56	26	21
Membrane Transport	Protein translocation across cytoplasmic membrane	Twin-arginine_translocation_system	Twin-arginine translocation protein TatC	327	293	69	61
Membrane Transport	Protein translocation across cytoplasmic membrane	Twin-arginine_translocation_system	Twin-arginine translocation protein TatE	1	0	0	0
Regulation and Cell signaling	NULL	Staphylococcal_accessory_gene_regulator_system	Two component system histidine kinase ArlS (EC 2.7.3.-)	0	1	0	0
Clustering-based subsystems	NULL	CBSS-176280.1.peg.1561	Two component transcriptional regulator VraR	0	0	1	0
Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Glutamate_and_Aspartate_uptake_in_Bacteria	Two component, Sigma-54 Specific, central transcriptional regulator of acidic amino acid uptake	1	0	2	2
Regulation and Cell signaling	NULL	Signal_transduction_module_[RsbQ_hydrolase_-_PAS_domain]	Two-component hybrid sensor and regulator associated with [RsbQ - PAS domain] sensing module	0	0	1	1
Regulation and Cell signaling	NULL	Orphan_regulatory_proteins	Two-component nitrogen fixation transcriptional regulator FixJ	2	1	0	0
Regulation and Cell signaling	NULL	Orphan_regulatory_proteins	Two-component oxygen-sensor histidine kinase FixL	4	4	0	0
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance_to_colicin_E2	Two-component response regulator CreB	0	0	3	3
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance_to_colicin_E2	Two-component response regulator CreC	2	2	6	2
Iron acquisition and metabolism	NULL	Heme,_hemin_uptake_and_utilization_systems_in_GramPositives	Two-component response regulator SA14-24	4	2	2	2
Regulation and Cell signaling	NULL	Orphan_regulatory_proteins	Two-component sensor histidine kinase PleC	4	4	2	2
Iron acquisition and metabolism	NULL	Heme,_hemin_uptake_and_utilization_systems_in_GramPositives	Two-component sensor kinase SA14-24	6	4	2	2
Regulation and Cell signaling	NULL	Two-component_regulatory_systems_in_Campylobacter	Two-component system histidine kinase	0	0	1	0
Regulation and Cell signaling	Regulation of virulence	Streptococcal_Mga_Regulon	Two-component system response regulator	146	133	41	41
Cell Wall and Capsule	Gram-Negative cell wall components	Major_Outer_Membrane_Proteins	Two-component system response regulator OmpR	5	1	3	4
Regulation and Cell signaling	NULL	Orphan_regulatory_proteins	Two-component system response regulator QseB	3	4	2	3
DNA Metabolism	NULL	Type_I_Restriction-Modification	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	124	118	84	74
DNA Metabolism	NULL	Restriction-Modification_System	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	171	169	103	92
DNA Metabolism	NULL	Type_I_Restriction-Modification	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	36	30	28	23
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug_Resistance_Efflux_Pumps	Type I secretion outer membrane protein, TolC precursor	117	91	33	32
Membrane Transport	Protein secretion system, Type II	Widespread_colonization_island	Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily	20	24	14	11
Membrane Transport	Protein secretion system, Type II	Widespread_colonization_island	Type II/IV secretion system ATPase TadZ/CpaE, associated with Flp pilus assembly	3	3	4	6
Membrane Transport	Protein secretion system, Type II	Widespread_colonization_island	Type II/IV secretion system protein TadC, associated with Flp pilus assembly	5	8	4	4
Membrane Transport	Protein secretion system, Type II	Widespread_colonization_island	Type II/IV secretion system secretin RcpA/CpaC, associated with Flp pilus assembly	11	20	3	2
Membrane Transport	Protein secretion system, Type III	Type_III_secretion_systems	Type III effector	2	1	4	3
DNA Metabolism	NULL	Restriction-Modification_System	Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)	1	0	0	0
DNA Metabolism	NULL	Restriction-Modification_System	Type III restriction-modification system methylation subunit (EC 2.1.1.72)	32	25	145	58
Membrane Transport	Protein secretion system, Type III	Type_III_secretion_system	Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)	3	7	0	1
Membrane Transport	Protein secretion system, Type III	Type_III_secretion_system	Type III secretion inner membrane protein (YscQ,homologous to flagellar export components)	0	0	1	1
Membrane Transport	Protein secretion system, Type III	Type_III_secretion_system	Type III secretion inner membrane protein (YscU,SpaS,EscU,HrcU,SsaU, homologous to flagellar export components)	1	0	0	0
Membrane Transport	Protein secretion system, Type III	Type_III_secretion_systems	Type III secretion translocase SctL	1	1	0	0
Membrane Transport	Protein secretion system, Type II	Widespread_colonization_island	Type IV prepilin peptidase TadV/CpaA	0	0	1	1
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation	12	11	35	31
Respiration	NULL	Biogenesis_of_cbb3-type_cytochrome_c_oxidases	Type cbb3 cytochrome oxidase biogenesis protein CcoH	2	0	2	0
Respiration	NULL	Biogenesis_of_cbb3-type_cytochrome_c_oxidases	Type cbb3 cytochrome oxidase biogenesis protein CcoI	19	17	17	10
Respiration	Electron accepting reactions	Terminal_cytochrome_C_oxidases	Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion	7	4	3	4
Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	CBSS-323850.3.peg.3269	Tyrosine recombinase XerC	71	64	31	28
Virulence, Disease and Defense	NULL	Streptococcus_agalactiae_virulome	Tyrosine-protein kinase EpsD (EC 2.7.10.2)	3	3	0	2
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular_Polysaccharides_Biosynthesis_and_Assembly	Tyrosine-protein kinase Wzc (EC 2.7.10.2)	18	15	13	12
Miscellaneous	NULL	ZZ_gjo_need_homes	Tyrosine-specific transport protein	0	0	1	0
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Tyr	Tyrosyl-tRNA synthetase (EC 6.1.1.1)	525	521	160	174
Cell Wall and Capsule	Gram-Negative cell wall components	KDO2-Lipid_A_biosynthesis	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.-)	219	199	46	44
Clustering-based subsystems	NULL	CBSS-251221.1.peg.1863	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.-)	295	261	56	53
Cell Wall and Capsule	Gram-Negative cell wall components	KDO2-Lipid_A_biosynthesis	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	325	309	72	59
Cell Wall and Capsule	Gram-Negative cell wall components	Lipid_A-Ara4N_pathway_(_Polymyxin_resistance_)	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.-)	123	125	44	39
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Legionaminic_Acid_Biosynthesis	UDP-Bac2Ac4Ac hydrolyzing 2-epimerase NeuC homolog	8	12	1	0
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Pseudaminic_Acid_Biosynthesis	UDP-GlcNAc-specific C4,6 dehydratase/C5 epimerase (PseB, first step of pseudaminic acid biosynthesis)	8	6	4	3
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Vibrio_Polysaccharide_(VPS)_Biosynthesis	UDP-N-acetyl-D-mannosaminuronate dehydrogenase	18	15	10	10
Cell Wall and Capsule	NULL	Peptidoglycan_Biosynthesis	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	247	231	81	71
Clustering-based subsystems	Clustering-based subsystems	Sporulation-related_Hypotheticals	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	587	538	177	165
Virulence, Disease and Defense	NULL	Streptococcus_agalactiae_virulome	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	255	248	45	43
Clustering-based subsystems	NULL	Cell_wall_related_cluster	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) 2	3	2	1	1
Clustering-based subsystems	NULL	CBSS-296591.1.peg.2330	UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)	157	145	51	45
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular_Polysaccharides_Biosynthesis_and_Assembly	UDP-N-acetylglucosamine 4-epimerase (EC 5.1.3.7)	5	4	0	0
Clustering-based subsystems	Cell Division	Cell_Division_Cluster	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	179	171	60	56
Cell Wall and Capsule	NULL	Peptidoglycan_biosynthesis--gjo	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	371	327	138	103
Cell Wall and Capsule	NULL	Peptidoglycan_biosynthesis--gjo	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	66	57	37	34
Cell Wall and Capsule	NULL	Peptidoglycan_biosynthesis--gjo	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	292	280	82	64
Cell Wall and Capsule	NULL	Peptidoglycan_Biosynthesis	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	489	457	95	86
Cell Wall and Capsule	NULL	Peptidoglycan_biosynthesis--gjo	UDP-N-acetylmuramoylalanyl-D-glutamate--L,L-2,6-diaminopimelate ligase	1	0	0	0
Cell Wall and Capsule	NULL	Peptidoglycan_biosynthesis--gjo	UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7)	1	0	0	0
Cell Wall and Capsule	NULL	Peptidoglycan_biosynthesis--gjo	UDP-N-acetylmuramoylalanyl-D-glutamate--L-ornithine ligase	2	1	1	0
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Methicillin_resistance_in_Staphylococci	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	262	230	51	37
Cell Wall and Capsule	Gram-Negative cell wall components	LOS_core_oligosaccharide_biosynthesis	UDP-galactopyranose mutase (EC 5.4.99.9)	20	21	13	16
Cell Wall and Capsule	Gram-Negative cell wall components	LOS_core_oligosaccharide_biosynthesis	UDP-galactose:(galactosyl) LPS alpha1,2-galactosyltransferase WaaW (EC 2.4.1.-)	3	3	52	29
Carbohydrates	NULL	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	UDP-glucose 4-epimerase (EC 5.1.3.2)	793	733	231	194
Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic_acid_biosynthesis	UDP-glucose dehydrogenase (EC 1.1.1.22)	628	573	160	144
Cell Wall and Capsule	Gram-Negative cell wall components	LOS_core_oligosaccharide_biosynthesis	UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG (EC 2.4.1.-)	2	1	1	0
Miscellaneous	Plant-Prokaryote DOE project	DMT_transporter	UDP-glucose:tetrahydrobiopterin glucosyltransferase [EC:2.4.1.-]	36	32	0	0
Clustering-based subsystems	NULL	CBSS-296591.1.peg.2330	UDP-glucuronate 5'-epimerase (EC 5.1.3.12)	39	42	15	11
Clustering-based subsystems	DNA metabolism	CBSS-269801.1.peg.2186	UPF0118 membrane protein YrrI	0	0	0	1
Miscellaneous	Plant-Prokaryote DOE project	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	UPF0125 protein yfjF	6	7	2	2
Cell Wall and Capsule	Gram-Negative cell wall components	Lipid_A_modifications	UPF0141 membrane protein YijP possibly required for phosphoethanolamine modification of lipopolysaccharide	0	0	1	1
Carbohydrates	NULL	Unknown_carbohydrate_utilization_(_cluster_Ydj_)	UPF0229 protein YeaH	0	0	0	1
Miscellaneous	NULL	YaaA	UPF0246 protein YaaA	137	109	21	22
Clustering-based subsystems	NULL	CBSS-320372.3.peg.6046	UPF0301 protein YqgE	27	26	4	2
Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793	UPF0335 protein R02793	0	2	0	0
Miscellaneous	Plant-Prokaryote DOE project	COG3760	UPF0434 protein YcaR	22	20	9	6
Clustering-based subsystems	NULL	Nucleoside_Catabolism_cluster	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	151	143	92	86
Respiration	Electron accepting reactions	Ubiquinone_Menaquinone-cytochrome_c_reductase_complexes	Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)	489	459	275	254
Respiration	Electron accepting reactions	Ubiquinone_Menaquinone-cytochrome_c_reductase_complexes	Ubiquinol-cytochrome C reductase complex core protein I, mitochondrial precursor (EC 1.10.2.2)	2	1	6	3
Respiration	Electron accepting reactions	Ubiquinone_Menaquinone-cytochrome_c_reductase_complexes	Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	158	155	62	67
Miscellaneous	Plant-Prokaryote DOE project	Experimental-Ubiquinone_BiosynthesisVDC	Ubiquinone biosynthesis enzyme COQ7	3	1	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone_Biosynthesis	Ubiquinone biosynthesis methyltransferase COQ5, mitochondrial precursor (EC 2.1.1.-)	3	4	3	2
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone_Biosynthesis	Ubiquinone biosynthesis monooxgenase COQ6 (EC 1.14.13.-)	1	0	0	0
Miscellaneous	Plant-Prokaryote DOE project	Experimental-Ubiquinone_BiosynthesisVDC	Ubiquinone biosynthesis monooxygenase UbiB	789	712	202	173
Miscellaneous	Plant-Prokaryote DOE project	Experimental-Ubiquinone_BiosynthesisVDC	Ubiquinone biosynthesis protein COQ4, mitochondrial precursor	0	0	1	1
Miscellaneous	Plant-Prokaryote DOE project	Experimental-Ubiquinone_BiosynthesisVDC	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	324	314	98	91
Cell Wall and Capsule	Gram-Negative cell wall components	Lipopolysaccharide_assembly	Uncharacterized ABC transporter, ATP-binding protein YrbF	11	13	16	13
Cell Wall and Capsule	Gram-Negative cell wall components	Lipopolysaccharide_assembly	Uncharacterized ABC transporter, auxiliary component YrbC	3	4	2	1
Cell Wall and Capsule	Gram-Negative cell wall components	Lipopolysaccharide_assembly	Uncharacterized ABC transporter, periplasmic component YrbD	4	4	5	3
Cell Wall and Capsule	Gram-Negative cell wall components	Lipopolysaccharide_assembly	Uncharacterized ABC transporter, permease component YrbE	11	9	17	18
Miscellaneous	NULL	ZZ_gjo_need_homes	Uncharacterized ATP-dependent helicase MJ0294	2	2	4	4
Miscellaneous	Plant-Prokaryote DOE project	At5g37530	Uncharacterized ATPase (AAA family) associated with cysteine desulfurase	1	1	2	1
Stress Response	Oxidative stress	Glutathionylspermidine_and_Trypanothione	Uncharacterized GST-like protein yghU associated with glutathionylspermidine synthetase/amidase	1	1	0	0
Respiration	NULL	Methanogenesis_strays	Uncharacterized HTH-type transcriptional regulator MJ0272	3	3	2	1
Clustering-based subsystems	NULL	CBSS-314269.3.peg.1840	Uncharacterized MobA-related protein	15	12	2	2
Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Aspartate_aminotransferase	Uncharacterized PLP-dependent aminotransferase YfdZ	68	72	15	12
Respiration	NULL	Methanogenesis_strays	Uncharacterized ferredoxin oxidoreductase MJ0100	0	0	1	1
Stress Response	Oxidative stress	Glutathione:_Non-redox_reactions	Uncharacterized glutathione S-transferase-like protein	7	7	1	1
Clustering-based subsystems	NULL	CBSS-316279.3.peg.746	Uncharacterized membrane protein Ycf36	17	16	0	0
Stress Response	Oxidative stress	Glutaredoxins	Uncharacterized monothiol glutaredoxin ycf64-like	62	62	24	17
Iron acquisition and metabolism	NULL	Encapsulating_protein_for_DyP-type_peroxidase_and_ferritin-like_protein_oligomers	Uncharacterized protein COG3461	2	2	0	0
Miscellaneous	Plant-Prokaryote DOE project	COG0398	Uncharacterized protein DUF1284, possibly iron-sulphur binding	4	0	0	0
Miscellaneous	Plant-Prokaryote DOE project	COG0398	Uncharacterized protein DUF547	12	9	7	7
Clustering-based subsystems	NULL	USS-DB-7	Uncharacterized protein ImpA	1	1	2	1
Membrane Transport	Protein secretion system, Type VI	Type_VI_secretion_systems	Uncharacterized protein ImpB	6	2	6	7
Membrane Transport	Protein secretion system, Type VI	Type_VI_secretion_systems	Uncharacterized protein ImpC	10	9	9	8
Membrane Transport	Protein secretion system, Type VI	Type_VI_secretion_systems	Uncharacterized protein ImpF	1	1	1	1
Membrane Transport	Protein secretion system, Type VI	Type_VI_secretion_systems	Uncharacterized protein ImpH/VasB	1	0	1	1
Membrane Transport	Protein secretion system, Type VI	Type_VI_secretion_systems	Uncharacterized protein ImpI/VasC	0	0	1	1
Clustering-based subsystems	NULL	USS-DB-7	Uncharacterized protein ImpJ/VasE	0	0	3	2
Clustering-based subsystems	NULL	Yfa_cluster	Uncharacterized protein YfaW	1	0	0	0
Clustering-based subsystems	Clustering-based subsystems	Putative_diaminopropionate_ammonia-lyase_cluster	Uncharacterized protein YgeA of aspartate/glutamate/hydantoin racemase family	6	7	3	3
Cell Wall and Capsule	Gram-Negative cell wall components	Inner_membrane_protein_YhjD_and_conserved_cluster_involved_in_LPS_biosynthesis	Uncharacterized protein YhjG	1	1	0	0
Carbohydrates	NULL	Unknown_sugar_utilization_(cluster_yphABCDEFG)	Uncharacterized protein YphG, TPR-domain containing	3	3	0	0
Clustering-based subsystems	Carbohydrates	Cluster_Ytf_and_putative_sugar_transporter	Uncharacterized protein YtfM precursor	0	0	1	1
Clustering-based subsystems	NULL	Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase	Uncharacterized protein with LysM domain, COG1652	14	13	7	6
Cell Wall and Capsule	Gram-Negative cell wall components	Lipopolysaccharide-related_cluster_in_Alphaproteobacteria	Uncharacterized protein, Bsl7517 homolog	1	1	0	0
Protein Metabolism	Protein degradation	Proteasome_bacterial	Uncharacterized protein, similar to the N-terminal domain of Lon protease	110	107	24	21
Clustering-based subsystems	Clustering-based subsystems	Putative_diaminopropionate_ammonia-lyase_cluster	Uncharacterized sigma-54-dependent transcriptional regulator YgeV	1	1	0	0
Carbohydrates	NULL	Unknown_carbohydrate_utilization_(_cluster_Yeg_)	Uncharacterized sugar kinase YegV, PfkB family	0	0	1	1
Carbohydrates	NULL	Uncharacterized_sugar_kinase_cluster_(ygc)	Uncharacterized sugar kinase YgcE (EC 2.7.1.-)	2	2	0	0
Miscellaneous	Plant-Prokaryote DOE project	COG1836	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	296	251	96	73
Miscellaneous	Plant-Prokaryote DOE project	COG0451	Undecaprenyl-diphosphatase (EC 3.6.1.27)	245	221	87	68
Cell Wall and Capsule	Gram-Positive cell wall components	Teichoic_and_lipoteichoic_acids_biosynthesis	Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)	83	71	34	26
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	23	24	13	14
Stress Response	NULL	Universal_stress_protein_family	Universal stress protein E	0	0	3	1
Stress Response	NULL	Universal_stress_protein_family	Universal stress protein family	11	3	6	6
Stress Response	NULL	Universal_stress_protein_family	Universal stress protein family 1	0	0	2	0
Stress Response	NULL	Universal_stress_protein_family	Universal stress protein family 4	8	10	0	0
Stress Response	NULL	Universal_stress_protein_family	Universal stress protein family COG0589	4	6	1	1
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	Unknown pentose isomerase TM0951	26	25	3	5
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	Unknown pentose kinase TM0952	0	1	2	1
Clustering-based subsystems	Monosaccharides	Unspecified_monosaccharide_transport_cluster	Unspecified monosaccharide ABC transport system, ATP-binding protein	17	26	4	3
Clustering-based subsystems	Monosaccharides	Unspecified_monosaccharide_transport_cluster	Unspecified monosaccharide ABC transport system, permease component 2	2	1	5	4
Clustering-based subsystems	Two related proteases	CBSS-257314.1.peg.676	Unspecified monosaccharide ABC transport system, permease component Ia (FIG025991)	2	1	0	0
Clustering-based subsystems	Monosaccharides	Unspecified_monosaccharide_transport_cluster	Unspecified monosaccharide ABC transport system, permease component Ib (FIG143636)	3	1	1	2
Clustering-based subsystems	Monosaccharides	Unspecified_monosaccharide_transport_cluster	Unspecified monosaccharide ABC transport system, substrate-binding component	2	1	1	1
Respiration	Electron donating reactions	Hydrogenases	Uptake hydrogenase large subunit (EC 1.12.99.6)	27	23	9	10
Respiration	Electron donating reactions	Hydrogenases	Uptake hydrogenase small subunit precursor (EC 1.12.99.6)	4	6	3	2
Nucleosides and Nucleotides	Pyrimidines	Pyrimidine_utilization	Uracil permease	1	1	3	3
Nucleosides and Nucleotides	Pyrimidines	De_Novo_Pyrimidine_Synthesis	Uracil phosphoribosyltransferase (EC 2.4.2.9)	126	121	64	55
DNA Metabolism	DNA repair	DNA_Repair_Base_Excision	Uracil-DNA glycosylase, family 1	130	123	25	27
DNA Metabolism	DNA repair	Uracil-DNA_glycosylase	Uracil-DNA glycosylase, family 3	9	8	2	1
DNA Metabolism	DNA repair	Uracil-DNA_glycosylase	Uracil-DNA glycosylase, family 4	127	129	13	13
DNA Metabolism	DNA repair	Uracil-DNA_glycosylase	Uracil-DNA glycosylase, family 5	48	42	21	18
DNA Metabolism	DNA repair	Uracil-DNA_glycosylase	Uracil-DNA glycosylase, putative family 6	2	3	0	1
Nucleosides and Nucleotides	Purines	Purine_Utilization	Uracil-xanthine permease	53	51	15	12
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	Urea ABC transporter, ATPase protein UrtD	58	54	9	9
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	Urea ABC transporter, ATPase protein UrtE	41	42	6	4
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	Urea ABC transporter, permease protein UrtB	72	68	16	12
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	Urea ABC transporter, permease protein UrtC	60	64	7	6
